subject_id	predicate_id	object_id	mapping_justification	mapping_date	comment
https://w3id.org/cco-domains/ont00000033	owl:equivalentClass	https://www.commoncoreontologies.org/ont00000033	semapv:ManualMappingCuration	2026-05-25	namespace fork, identical concept (CCO v2.0-2024-11-06)
https://w3id.org/cco-domains/ont00000034	owl:equivalentClass	https://www.commoncoreontologies.org/ont00000034	semapv:ManualMappingCuration	2026-05-25	namespace fork, identical concept (CCO v2.0-2024-11-06)
https://w3id.org/cco-domains/ont00000035	owl:equivalentClass	https://www.commoncoreontologies.org/ont00000035	semapv:ManualMappingCuration	2026-05-25	namespace fork, identical concept (CCO v2.0-2024-11-06)
https://w3id.org/cco-domains/ont00000036	owl:equivalentClass	https://www.commoncoreontologies.org/ont00000036	semapv:ManualMappingCuration	2026-05-25	namespace fork, identical concept (CCO v2.0-2024-11-06)
https://w3id.org/cco-domains/ont00000037	owl:equivalentClass	https://www.commoncoreontologies.org/ont00000037	semapv:ManualMappingCuration	2026-05-25	namespace fork, identical concept (CCO v2.0-2024-11-06)
https://w3id.org/cco-domains/ont00000038	owl:equivalentClass	https://www.commoncoreontologies.org/ont00000038	semapv:ManualMappingCuration	2026-05-25	namespace fork, identical concept (CCO v2.0-2024-11-06)
https://w3id.org/cco-domains/ont00000039	owl:equivalentClass	https://www.commoncoreontologies.org/ont00000039	semapv:ManualMappingCuration	2026-05-25	namespace fork, identical concept (CCO v2.0-2024-11-06)
https://w3id.org/cco-domains/ont00000040	owl:equivalentClass	https://www.commoncoreontologies.org/ont00000040	semapv:ManualMappingCuration	2026-05-25	namespace fork, identical concept (CCO v2.0-2024-11-06)
https://w3id.org/cco-domains/ont00000041	owl:equivalentClass	https://www.commoncoreontologies.org/ont00000041	semapv:ManualMappingCuration	2026-05-25	namespace fork, identical concept (CCO v2.0-2024-11-06)
https://w3id.org/cco-domains/ont00000042	owl:equivalentClass	https://www.commoncoreontologies.org/ont00000042	semapv:ManualMappingCuration	2026-05-25	namespace fork, identical concept (CCO v2.0-2024-11-06)
https://w3id.org/cco-domains/ont00000043	owl:equivalentClass	https://www.commoncoreontologies.org/ont00000043	semapv:ManualMappingCuration	2026-05-25	namespace fork, identical concept (CCO v2.0-2024-11-06)
https://w3id.org/cco-domains/ont00000044	owl:equivalentClass	https://www.commoncoreontologies.org/ont00000044	semapv:ManualMappingCuration	2026-05-25	namespace fork, identical concept (CCO v2.0-2024-11-06)
https://w3id.org/cco-domains/ont00000045	owl:equivalentClass	https://www.commoncoreontologies.org/ont00000045	semapv:ManualMappingCuration	2026-05-25	namespace fork, identical concept (CCO v2.0-2024-11-06)
https://w3id.org/cco-domains/ont00000046	owl:equivalentClass	https://www.commoncoreontologies.org/ont00000046	semapv:ManualMappingCuration	2026-05-25	namespace fork, identical concept (CCO v2.0-2024-11-06)
